countrynewwb,codewb,year,pop_adult,regionwb24_hi,incomegroupwb24,account_t_d,capital_api,region_api,subregion_api,flag_url,local_flag_path
Latvia,LVA,2021,1596418.0,High income,High income,0.97,Riga,Europe,Northern Europe,https://flagcdn.com/w320/lv.png,..\output\imagenes_procesadas\lv.jpg
Lebanon,LBN,2021,4108774.0,Middle East & North Africa (excluding high income),Lower middle income,0.21,Beirut,Asia,Western Asia,https://flagcdn.com/w320/lb.png,..\output\imagenes_procesadas\lb.jpg
Lesotho,LSO,2022,1434393.0,Sub-Saharan Africa (excluding high income),Lower middle income,0.64,Maseru,Africa,Southern Africa,https://flagcdn.com/w320/ls.png,..\output\imagenes_procesadas\ls.jpg
Liberia,LBR,2021,3018782.0,Sub-Saharan Africa (excluding high income),Low income,0.52,Monrovia,Africa,Western Africa,https://flagcdn.com/w320/lr.png,..\output\imagenes_procesadas\lr.jpg
Lithuania,LTU,2021,2372426.0,High income,High income,0.94,Vilnius,Europe,Northern Europe,https://flagcdn.com/w320/lt.png,..\output\imagenes_procesadas\lt.jpg
Madagascar,MDG,2022,17259462.0,Sub-Saharan Africa (excluding high income),Low income,0.26,Antananarivo,Africa,Eastern Africa,https://flagcdn.com/w320/mg.png,..\output\imagenes_procesadas\mg.jpg
Malawi,MWI,2021,11111253.0,Sub-Saharan Africa (excluding high income),Low income,0.43,Lilongwe,Africa,Eastern Africa,https://flagcdn.com/w320/mw.png,..\output\imagenes_procesadas\mw.jpg
Malaysia,MYS,2021,25769271.0,East Asia & Pacific (excluding high income),Upper middle income,0.88,Kuala Lumpur,Asia,South-Eastern Asia,https://flagcdn.com/w320/my.png,..\output\imagenes_procesadas\my.jpg
Mali,MLI,2021,11438992.0,Sub-Saharan Africa (excluding high income),Low income,0.44,Bamako,Africa,Western Africa,https://flagcdn.com/w320/ml.png,..\output\imagenes_procesadas\ml.jpg
Malta,MLT,2021,446624.0,High income,High income,0.96,Valletta,Europe,Southern Europe,https://flagcdn.com/w320/mt.png,..\output\imagenes_procesadas\mt.jpg
Mauritania,MRT,2022,2584547.0,Sub-Saharan Africa (excluding high income),Lower middle income,0.23,Nouakchott,Africa,Western Africa,https://flagcdn.com/w320/mr.png,..\output\imagenes_procesadas\mr.jpg
Mauritius,MUS,2021,1058961.0,Sub-Saharan Africa (excluding high income),Upper middle income,0.91,Port Louis,Africa,Eastern Africa,https://flagcdn.com/w320/mu.png,..\output\imagenes_procesadas\mu.jpg
Mexico,MEX,2022,93851214.0,Latin America & Caribbean (excluding high income),Upper middle income,0.49,Mexico City,Americas,North America,https://flagcdn.com/w320/mx.png,..\output\imagenes_procesadas\mx.jpg
Moldova,MDA,2021,2108305.0,Europe & Central Asia (excluding high income),Upper middle income,0.64,Chișinău,Europe,Eastern Europe,https://flagcdn.com/w320/md.png,..\output\imagenes_procesadas\md.jpg
Mongolia,MNG,2021,2237019.0,East Asia & Pacific (excluding high income),Lower middle income,0.98,Ulan Bator,Asia,Eastern Asia,https://flagcdn.com/w320/mn.png,..\output\imagenes_procesadas\mn.jpg
Morocco,MAR,2021,26706787.0,Middle East & North Africa (excluding high income),Lower middle income,0.44,Rabat,Africa,Northern Africa,https://flagcdn.com/w320/ma.png,..\output\imagenes_procesadas\ma.jpg
Mozambique,MOZ,2021,16874256.0,Sub-Saharan Africa (excluding high income),Low income,0.49,Maputo,Africa,Eastern Africa,https://flagcdn.com/w320/mz.png,..\output\imagenes_procesadas\mz.jpg
Myanmar,MMR,2021,39685121.0,East Asia & Pacific (excluding high income),Lower middle income,0.48,Naypyidaw,Asia,South-Eastern Asia,https://flagcdn.com/w320/mm.png,..\output\imagenes_procesadas\mm.jpg
Namibia,NAM,2021,1715314.0,Sub-Saharan Africa (excluding high income),Upper middle income,0.71,Windhoek,Africa,Southern Africa,https://flagcdn.com/w320/na.png,..\output\imagenes_procesadas\na.jpg
Nepal,NPL,2021,20254590.0,South Asia (excluding high income),Lower middle income,0.54,Kathmandu,Asia,Southern Asia,https://flagcdn.com/w320/np.png,..\output\imagenes_procesadas\np.jpg
Netherlands,NLD,2021,14717214.0,High income,High income,1.0,Amsterdam,Europe,Western Europe,https://flagcdn.com/w320/nl.png,..\output\imagenes_procesadas\nl.jpg
New Zealand,NZL,2021,4122094.0,High income,High income,0.99,Wellington,Oceania,Australia and New Zealand,https://flagcdn.com/w320/nz.png,..\output\imagenes_procesadas\nz.jpg
Nicaragua,NIC,2021,4567953.0,Latin America & Caribbean (excluding high income),Lower middle income,0.26,Managua,Americas,Central America,https://flagcdn.com/w320/ni.png,..\output\imagenes_procesadas\ni.jpg
Niger,NER,2022,12328593.0,Sub-Saharan Africa (excluding high income),Low income,0.12,Niamey,Africa,Western Africa,https://flagcdn.com/w320/ne.png,..\output\imagenes_procesadas\ne.jpg
Nigeria,NGA,2021,122350743.0,Sub-Saharan Africa (excluding high income),Lower middle income,0.45,Abuja,Africa,Western Africa,https://flagcdn.com/w320/ng.png,..\output\imagenes_procesadas\ng.jpg
North Macedonia,MKD,2021,1536653.0,Europe & Central Asia (excluding high income),Upper middle income,0.85,Skopje,Europe,Southern Europe,https://flagcdn.com/w320/mk.png,..\output\imagenes_procesadas\mk.jpg
Norway,NOR,2021,4453612.0,High income,High income,0.99,Oslo,Europe,Northern Europe,https://flagcdn.com/w320/no.png,..\output\imagenes_procesadas\no.jpg
Pakistan,PAK,2021,146030491.0,South Asia (excluding high income),Lower middle income,0.21,Islamabad,Asia,Southern Asia,https://flagcdn.com/w320/pk.png,..\output\imagenes_procesadas\pk.jpg
Panama,PAN,2021,3160275.0,High income,High income,0.45,Panama City,Americas,Central America,https://flagcdn.com/w320/pa.png,..\output\imagenes_procesadas\pa.jpg
Paraguay,PRY,2021,4679787.0,Latin America & Caribbean (excluding high income),Upper middle income,0.54,Asunción,Americas,South America,https://flagcdn.com/w320/py.png,..\output\imagenes_procesadas\py.jpg
Peru,PER,2021,24463530.0,Latin America & Caribbean (excluding high income),Upper middle income,0.57,Lima,Americas,South America,https://flagcdn.com/w320/pe.png,..\output\imagenes_procesadas\pe.jpg
Philippines,PHL,2021,77692157.0,East Asia & Pacific (excluding high income),Lower middle income,0.51,Manila,Asia,South-Eastern Asia,https://flagcdn.com/w320/ph.png,..\output\imagenes_procesadas\ph.jpg
Poland,POL,2021,32028961.0,High income,High income,0.96,Warsaw,Europe,Central Europe,https://flagcdn.com/w320/pl.png,..\output\imagenes_procesadas\pl.jpg
Portugal,PRT,2021,8923687.0,High income,High income,0.93,Lisbon,Europe,Southern Europe,https://flagcdn.com/w320/pt.png,..\output\imagenes_procesadas\pt.jpg
Romania,ROU,2021,16163817.0,High income,High income,0.69,Bucharest,Europe,Eastern Europe,https://flagcdn.com/w320/ro.png,..\output\imagenes_procesadas\ro.jpg
Russian Federation,RUS,2021,119582441.0,Europe & Central Asia (excluding high income),Upper middle income,0.9,Moscow,Europe,Eastern Europe,https://flagcdn.com/w320/ru.png,..\output\imagenes_procesadas\ru.jpg
Saudi Arabia,SAU,2021,23509479.0,High income,High income,0.74,Riyadh,Asia,Western Asia,https://flagcdn.com/w320/sa.png,..\output\imagenes_procesadas\sa.jpg
Senegal,SEN,2021,10017948.0,Sub-Saharan Africa (excluding high income),Lower middle income,0.56,Dakar,Africa,Western Africa,https://flagcdn.com/w320/sn.png,..\output\imagenes_procesadas\sn.jpg
Serbia,SRB,2021,5915242.0,Europe & Central Asia (excluding high income),Upper middle income,0.89,Belgrade,Europe,Southern Europe,https://flagcdn.com/w320/rs.png,..\output\imagenes_procesadas\rs.jpg
Sierra Leone,SLE,2021,4762478.0,Sub-Saharan Africa (excluding high income),Low income,0.29,Freetown,Africa,Western Africa,https://flagcdn.com/w320/sl.png,..\output\imagenes_procesadas\sl.jpg
Singapore,SGP,2021,4993587.0,High income,High income,0.98,Singapore,Asia,South-Eastern Asia,https://flagcdn.com/w320/sg.png,..\output\imagenes_procesadas\sg.jpg
Slovenia,SVN,2021,1784150.0,High income,High income,0.99,Ljubljana,Europe,Southern Europe,https://flagcdn.com/w320/si.png,..\output\imagenes_procesadas\si.jpg
South Africa,ZAF,2021,44211052.0,Sub-Saharan Africa (excluding high income),Upper middle income,0.85,Pretoria,Africa,Southern Africa,https://flagcdn.com/w320/za.png,..\output\imagenes_procesadas\za.jpg
South Sudan,SSD,2021,6159568.0,Sub-Saharan Africa (excluding high income),Low income,0.06,Juba,Africa,Middle Africa,https://flagcdn.com/w320/ss.png,..\output\imagenes_procesadas\ss.jpg
Spain,ESP,2021,40639965.0,High income,High income,0.98,Madrid,Europe,Southern Europe,https://flagcdn.com/w320/es.png,..\output\imagenes_procesadas\es.jpg
Sri Lanka,LKA,2021,16803664.0,South Asia (excluding high income),Lower middle income,0.89,Sri Jayawardenepura Kotte,Asia,Southern Asia,https://flagcdn.com/w320/lk.png,..\output\imagenes_procesadas\lk.jpg
Sweden,SWE,2021,8517166.0,High income,High income,1.0,Stockholm,Europe,Northern Europe,https://flagcdn.com/w320/se.png,..\output\imagenes_procesadas\se.jpg
Switzerland,CHE,2021,7337959.0,High income,High income,0.99,Bern,Europe,Central Europe,https://flagcdn.com/w320/ch.png,..\output\imagenes_procesadas\ch.jpg
Tajikistan,TJK,2021,6196225.0,Europe & Central Asia (excluding high income),Lower middle income,0.39,Dushanbe,Asia,Central Asia,https://flagcdn.com/w320/tj.png,..\output\imagenes_procesadas\tj.jpg
Tanzania,TZA,2021,34527295.0,Sub-Saharan Africa (excluding high income),Lower middle income,0.52,Dodoma,Africa,Eastern Africa,https://flagcdn.com/w320/tz.png,..\output\imagenes_procesadas\tz.jpg
Thailand,THA,2021,60059109.0,East Asia & Pacific (excluding high income),Upper middle income,0.96,Bangkok,Asia,South-Eastern Asia,https://flagcdn.com/w320/th.png,..\output\imagenes_procesadas\th.jpg
Togo,TGO,2021,5137794.0,Sub-Saharan Africa (excluding high income),Low income,0.5,Lomé,Africa,Western Africa,https://flagcdn.com/w320/tg.png,..\output\imagenes_procesadas\tg.jpg
Tunisia,TUN,2021,8970562.0,Middle East & North Africa (excluding high income),Lower middle income,0.37,Tunis,Africa,Northern Africa,https://flagcdn.com/w320/tn.png,..\output\imagenes_procesadas\tn.jpg
Uganda,UGA,2021,24351947.0,Sub-Saharan Africa (excluding high income),Low income,0.66,Kampala,Africa,Eastern Africa,https://flagcdn.com/w320/ug.png,..\output\imagenes_procesadas\ug.jpg
Ukraine,UKR,2021,37851388.0,Europe & Central Asia (excluding high income),Lower middle income,0.84,Kyiv,Europe,Eastern Europe,https://flagcdn.com/w320/ua.png,..\output\imagenes_procesadas\ua.jpg
United Arab Emirates,ARE,2021,7842387.0,High income,High income,0.86,Abu Dhabi,Asia,Western Asia,https://flagcdn.com/w320/ae.png,..\output\imagenes_procesadas\ae.jpg
United Kingdom,GBR,2021,55029201.0,High income,High income,1.0,London,Europe,Northern Europe,https://flagcdn.com/w320/gb.png,..\output\imagenes_procesadas\gb.jpg
United States,USA,2021,270549658.0,High income,High income,0.95,,Americas,Northern America,https://flagcdn.com/w320/um.png,..\output\imagenes_procesadas\um.jpg
Uruguay,URY,2021,2725712.0,High income,High income,0.74,Montevideo,Americas,South America,https://flagcdn.com/w320/uy.png,..\output\imagenes_procesadas\uy.jpg
Uzbekistan,UZB,2021,23599241.0,Europe & Central Asia (excluding high income),Lower middle income,0.44,Tashkent,Asia,Central Asia,https://flagcdn.com/w320/uz.png,..\output\imagenes_procesadas\uz.jpg
Zambia,ZMB,2021,10800121.0,Sub-Saharan Africa (excluding high income),Low income,0.49,Lusaka,Africa,Eastern Africa,https://flagcdn.com/w320/zm.png,..\output\imagenes_procesadas\zm.jpg
Zimbabwe,ZWE,2021,8977056.0,Sub-Saharan Africa (excluding high income),Lower middle income,0.6,Harare,Africa,Southern Africa,https://flagcdn.com/w320/zw.png,..\output\imagenes_procesadas\zw.jpg
Albania,ALB,2024,2278004.0,Europe & Central Asia (excluding high income),Upper middle income,0.46,Tirana,Europe,Southern Europe,https://flagcdn.com/w320/al.png,..\output\imagenes_procesadas\al.jpg
Algeria,DZA,2024,32019804.0,Middle East & North Africa (excluding high income),Lower middle income,0.35,Algiers,Africa,Northern Africa,https://flagcdn.com/w320/dz.png,..\output\imagenes_procesadas\dz.jpg
Argentina,ARG,2024,35433130.0,Latin America & Caribbean (excluding high income),Upper middle income,0.82,Buenos Aires,Americas,South America,https://flagcdn.com/w320/ar.png,..\output\imagenes_procesadas\ar.jpg
Armenia,ARM,2024,2406318.0,Europe & Central Asia (excluding high income),Upper middle income,0.71,Yerevan,Asia,Western Asia,https://flagcdn.com/w320/am.png,..\output\imagenes_procesadas\am.jpg
Australia,AUS,2024,21852264.0,High income,High income,0.98,Canberra,Oceania,Australia and New Zealand,https://flagcdn.com/w320/au.png,..\output\imagenes_procesadas\au.jpg
Austria,AUT,2024,7825678.0,High income,High income,1.0,Vienna,Europe,Central Europe,https://flagcdn.com/w320/at.png,..\output\imagenes_procesadas\at.jpg
Azerbaijan,AZE,2024,7885113.0,Europe & Central Asia (excluding high income),Upper middle income,0.56,Baku,Asia,Western Asia,https://flagcdn.com/w320/az.png,..\output\imagenes_procesadas\az.jpg
Bahrain,BHR,2024,1277545.0,High income,High income,0.82,Manama,Asia,Western Asia,https://flagcdn.com/w320/bh.png,..\output\imagenes_procesadas\bh.jpg
Bangladesh,BGD,2024,122837439.0,South Asia (excluding high income),Lower middle income,0.43,Dhaka,Asia,Southern Asia,https://flagcdn.com/w320/bd.png,..\output\imagenes_procesadas\bd.jpg
Belgium,BEL,2024,9867164.0,High income,High income,0.98,Brussels,Europe,Western Europe,https://flagcdn.com/w320/be.png,..\output\imagenes_procesadas\be.jpg
Belize,BLZ,2024,300138.0,Latin America & Caribbean (excluding high income),Upper middle income,0.68,Belmopan,Americas,Central America,https://flagcdn.com/w320/bz.png,..\output\imagenes_procesadas\bz.jpg
Benin,BEN,2024,8207504.0,Sub-Saharan Africa (excluding high income),Lower middle income,0.52,Porto-Novo,Africa,Western Africa,https://flagcdn.com/w320/bj.png,..\output\imagenes_procesadas\bj.jpg
Bolivia,BOL,2024,8553476.0,Latin America & Caribbean (excluding high income),Lower middle income,0.57,Sucre,Americas,South America,https://flagcdn.com/w320/bo.png,..\output\imagenes_procesadas\bo.jpg
Bosnia and Herzegovina,BIH,2024,2764009.0,Europe & Central Asia (excluding high income),Upper middle income,0.77,Sarajevo,Europe,Southern Europe,https://flagcdn.com/w320/ba.png,..\output\imagenes_procesadas\ba.jpg
Botswana,BWA,2024,1679590.0,Sub-Saharan Africa (excluding high income),Upper middle income,0.61,Gaborone,Africa,Southern Africa,https://flagcdn.com/w320/bw.png,..\output\imagenes_procesadas\bw.jpg
Brazil,BRA,2024,169047814.0,Latin America & Caribbean (excluding high income),Upper middle income,0.86,Brasília,Americas,South America,https://flagcdn.com/w320/br.png,..\output\imagenes_procesadas\br.jpg
Bulgaria,BGR,2024,5509377.0,Europe & Central Asia (excluding high income),Upper middle income,0.85,Sofia,Europe,Eastern Europe,https://flagcdn.com/w320/bg.png,..\output\imagenes_procesadas\bg.jpg
Burkina Faso,BFA,2024,13262560.0,Sub-Saharan Africa (excluding high income),Low income,0.51,Ouagadougou,Africa,Western Africa,https://flagcdn.com/w320/bf.png,..\output\imagenes_procesadas\bf.jpg
Cambodia,KHM,2024,12177453.0,East Asia & Pacific (excluding high income),Lower middle income,0.39,Phnom Penh,Asia,South-Eastern Asia,https://flagcdn.com/w320/kh.png,..\output\imagenes_procesadas\kh.jpg
Cameroon,CMR,2024,16524096.0,Sub-Saharan Africa (excluding high income),Lower middle income,0.61,Yaoundé,Africa,Middle Africa,https://flagcdn.com/w320/cm.png,..\output\imagenes_procesadas\cm.jpg
Canada,CAN,2024,33960981.0,High income,High income,0.98,Ottawa,Americas,Northern America,https://flagcdn.com/w320/ca.png,..\output\imagenes_procesadas\ca.jpg
Chad,TCD,2024,10289880.0,Sub-Saharan Africa (excluding high income),Low income,0.21,N'Djamena,Africa,Middle Africa,https://flagcdn.com/w320/td.png,..\output\imagenes_procesadas\td.jpg
Chile,CHL,2024,16241277.0,High income,High income,0.85,Santiago,Americas,South America,https://flagcdn.com/w320/cl.png,..\output\imagenes_procesadas\cl.jpg
China,CHN,2024,1176678702.0,East Asia & Pacific (excluding high income),Upper middle income,0.89,Beijing,Asia,Eastern Asia,https://flagcdn.com/w320/cn.png,..\output\imagenes_procesadas\cn.jpg
Colombia,COL,2024,41544122.0,Latin America & Caribbean (excluding high income),Upper middle income,0.57,Bogotá,Americas,South America,https://flagcdn.com/w320/co.png,..\output\imagenes_procesadas\co.jpg
Comoros,COM,2024,532331.0,Sub-Saharan Africa (excluding high income),Lower middle income,0.45,Moroni,Africa,Eastern Africa,https://flagcdn.com/w320/km.png,..\output\imagenes_procesadas\km.jpg
Costa Rica,CRI,2024,4118576.0,Latin America & Caribbean (excluding high income),Upper middle income,0.71,San José,Americas,Central America,https://flagcdn.com/w320/cr.png,..\output\imagenes_procesadas\cr.jpg
Croatia,HRV,2024,3313982.0,High income,High income,0.93,Zagreb,Europe,Southern Europe,https://flagcdn.com/w320/hr.png,..\output\imagenes_procesadas\hr.jpg
Cyprus,CYP,2024,1129055.0,High income,High income,0.96,Nicosia,Europe,Southern Europe,https://flagcdn.com/w320/cy.png,..\output\imagenes_procesadas\cy.jpg
Denmark,DNK,2024,5003352.0,High income,High income,0.99,Copenhagen,Europe,Northern Europe,https://flagcdn.com/w320/dk.png,..\output\imagenes_procesadas\dk.jpg
Dominican Republic,DOM,2024,8281568.0,Latin America & Caribbean (excluding high income),Upper middle income,0.65,Santo Domingo,Americas,Caribbean,https://flagcdn.com/w320/do.png,..\output\imagenes_procesadas\do.jpg
Ecuador,ECU,2024,13484219.0,Latin America & Caribbean (excluding high income),Upper middle income,0.65,Quito,Americas,South America,https://flagcdn.com/w320/ec.png,..\output\imagenes_procesadas\ec.jpg
El Salvador,SLV,2024,4718943.0,Latin America & Caribbean (excluding high income),Lower middle income,0.43,San Salvador,Americas,Central America,https://flagcdn.com/w320/sv.png,..\output\imagenes_procesadas\sv.jpg
Estonia,EST,2024,1151475.0,High income,High income,0.99,Tallinn,Europe,Northern Europe,https://flagcdn.com/w320/ee.png,..\output\imagenes_procesadas\ee.jpg
Ethiopia,ETH,2024,78031387.0,Sub-Saharan Africa (excluding high income),Low income,0.49,Addis Ababa,Africa,Eastern Africa,https://flagcdn.com/w320/et.png,..\output\imagenes_procesadas\et.jpg
Finland,FIN,2024,4749954.0,High income,High income,1.0,Helsinki,Europe,Northern Europe,https://flagcdn.com/w320/fi.png,..\output\imagenes_procesadas\fi.jpg
France,FRA,2024,56825584.0,High income,High income,0.99,Paris,Europe,Western Europe,https://flagcdn.com/w320/fr.png,..\output\imagenes_procesadas\fr.jpg
Gabon,GAB,2024,1573811.0,Sub-Saharan Africa (excluding high income),Upper middle income,0.68,Libreville,Africa,Middle Africa,https://flagcdn.com/w320/ga.png,..\output\imagenes_procesadas\ga.jpg
Georgia,GEO,2024,2933716.0,Europe & Central Asia (excluding high income),Upper middle income,0.79,Tbilisi,Asia,Western Asia,https://flagcdn.com/w320/ge.png,..\output\imagenes_procesadas\ge.jpg
Germany,DEU,2024,71691113.0,High income,High income,0.98,Berlin,Europe,Central Europe,https://flagcdn.com/w320/de.png,..\output\imagenes_procesadas\de.jpg
Ghana,GHA,2024,21563813.0,Sub-Saharan Africa (excluding high income),Lower middle income,0.81,Accra,Africa,Western Africa,https://flagcdn.com/w320/gh.png,..\output\imagenes_procesadas\gh.jpg
Greece,GRC,2024,8991800.0,High income,High income,0.89,Athens,Europe,Southern Europe,https://flagcdn.com/w320/gr.png,..\output\imagenes_procesadas\gr.jpg
Guatemala,GTM,2024,12299923.0,Latin America & Caribbean (excluding high income),Upper middle income,0.38,Guatemala City,Americas,Central America,https://flagcdn.com/w320/gt.png,..\output\imagenes_procesadas\gt.jpg
Guinea,GIN,2024,8464230.0,Sub-Saharan Africa (excluding high income),Low income,0.36,Conakry,Africa,Western Africa,https://flagcdn.com/w320/gn.png,..\output\imagenes_procesadas\gn.jpg
Honduras,HND,2024,7345357.0,Latin America & Caribbean (excluding high income),Lower middle income,0.42,Tegucigalpa,Americas,Central America,https://flagcdn.com/w320/hn.png,..\output\imagenes_procesadas\hn.jpg
Hungary,HUN,2024,8202714.0,High income,High income,0.87,Budapest,Europe,Central Europe,https://flagcdn.com/w320/hu.png,..\output\imagenes_procesadas\hu.jpg
Iceland,ISL,2024,322325.0,High income,High income,1.0,Reykjavík,Europe,Northern Europe,https://flagcdn.com/w320/is.png,..\output\imagenes_procesadas\is.jpg
India,IND,2024,1077731602.0,South Asia (excluding high income),Lower middle income,0.89,New Delhi,Asia,Southern Asia,https://flagcdn.com/w320/in.png,..\output\imagenes_procesadas\in.jpg
Indonesia,IDN,2024,211076339.0,East Asia & Pacific (excluding high income),Lower middle income,0.56,Jakarta,Asia,South-Eastern Asia,https://flagcdn.com/w320/id.png,..\output\imagenes_procesadas\id.jpg
Iraq,IRQ,2024,28355455.0,Middle East & North Africa (excluding high income),Upper middle income,0.3,Baghdad,Asia,Western Asia,https://flagcdn.com/w320/iq.png,..\output\imagenes_procesadas\iq.jpg
Ireland,IRL,2024,4298252.0,High income,High income,0.98,Dublin,Europe,Northern Europe,https://flagcdn.com/w320/ie.png,..\output\imagenes_procesadas\ie.jpg
Israel,ISR,2024,7062352.0,High income,High income,0.89,Jerusalem,Asia,Western Asia,https://flagcdn.com/w320/il.png,..\output\imagenes_procesadas\il.jpg
Italy,ITA,2024,51829051.0,High income,High income,0.86,Rome,Europe,Southern Europe,https://flagcdn.com/w320/it.png,..\output\imagenes_procesadas\it.jpg
Japan,JPN,2024,110011344.0,High income,High income,0.99,Tokyo,Asia,Eastern Asia,https://flagcdn.com/w320/jp.png,..\output\imagenes_procesadas\jp.jpg
Jordan,JOR,2024,7867178.0,Middle East & North Africa (excluding high income),Upper middle income,0.46,Amman,Asia,Western Asia,https://flagcdn.com/w320/jo.png,..\output\imagenes_procesadas\jo.jpg
Kazakhstan,KAZ,2024,14324777.0,Europe & Central Asia (excluding high income),Upper middle income,0.87,Astana,Asia,Central Asia,https://flagcdn.com/w320/kz.png,..\output\imagenes_procesadas\kz.jpg
Kenya,KEN,2024,34616135.0,Sub-Saharan Africa (excluding high income),Lower middle income,0.9,Nairobi,Africa,Eastern Africa,https://flagcdn.com/w320/ke.png,..\output\imagenes_procesadas\ke.jpg
Kosovo,XKX,2024,1382360.0,Europe & Central Asia (excluding high income),Upper middle income,0.64,Pristina,Europe,Eastern Europe,https://flagcdn.com/w320/xk.png,..\output\imagenes_procesadas\xk.jpg
Kuwait,KWT,2024,3950546.0,High income,High income,0.74,Kuwait City,Asia,Western Asia,https://flagcdn.com/w320/kw.png,..\output\imagenes_procesadas\kw.jpg
Latvia,LVA,2024,1582835.0,High income,High income,0.95,Riga,Europe,Northern Europe,https://flagcdn.com/w320/lv.png,..\output\imagenes_procesadas\lv.jpg
Lebanon,LBN,2024,4231057.0,Middle East & North Africa (excluding high income),Lower middle income,0.23,Beirut,Asia,Western Asia,https://flagcdn.com/w320/lb.png,..\output\imagenes_procesadas\lb.jpg
Lesotho,LSO,2024,1504222.0,Sub-Saharan Africa (excluding high income),Lower middle income,0.62,Maseru,Africa,Southern Africa,https://flagcdn.com/w320/ls.png,..\output\imagenes_procesadas\ls.jpg
Liberia,LBR,2024,3295997.0,Sub-Saharan Africa (excluding high income),Low income,0.52,Monrovia,Africa,Western Africa,https://flagcdn.com/w320/lr.png,..\output\imagenes_procesadas\lr.jpg
Libya,LBY,2024,5262910.0,Middle East & North Africa (excluding high income),Upper middle income,0.33,Tripoli,Africa,Northern Africa,https://flagcdn.com/w320/ly.png,..\output\imagenes_procesadas\ly.jpg
Lithuania,LTU,2024,2444088.0,High income,High income,0.99,Vilnius,Europe,Northern Europe,https://flagcdn.com/w320/lt.png,..\output\imagenes_procesadas\lt.jpg
Madagascar,MDG,2024,18851036.0,Sub-Saharan Africa (excluding high income),Low income,0.24,Antananarivo,Africa,Eastern Africa,https://flagcdn.com/w320/mg.png,..\output\imagenes_procesadas\mg.jpg
Malawi,MWI,2024,12384937.0,Sub-Saharan Africa (excluding high income),Low income,0.5,Lilongwe,Africa,Eastern Africa,https://flagcdn.com/w320/mw.png,..\output\imagenes_procesadas\mw.jpg
Malaysia,MYS,2024,27297352.0,East Asia & Pacific (excluding high income),Upper middle income,0.89,Kuala Lumpur,Asia,South-Eastern Asia,https://flagcdn.com/w320/my.png,..\output\imagenes_procesadas\my.jpg
Mali,MLI,2024,12725942.0,Sub-Saharan Africa (excluding high income),Low income,0.55,Bamako,Africa,Western Africa,https://flagcdn.com/w320/ml.png,..\output\imagenes_procesadas\ml.jpg
Malta,MLT,2024,480050.0,High income,High income,0.97,Valletta,Europe,Southern Europe,https://flagcdn.com/w320/mt.png,..\output\imagenes_procesadas\mt.jpg
Mauritania,MRT,2024,2860979.0,Sub-Saharan Africa (excluding high income),Lower middle income,0.27,Nouakchott,Africa,Western Africa,https://flagcdn.com/w320/mr.png,..\output\imagenes_procesadas\mr.jpg
Mauritius,MUS,2024,1070318.0,Sub-Saharan Africa (excluding high income),Upper middle income,0.9,Port Louis,Africa,Eastern Africa,https://flagcdn.com/w320/mu.png,..\output\imagenes_procesadas\mu.jpg
Mexico,MEX,2024,97411242.0,Latin America & Caribbean (excluding high income),Upper middle income,0.53,Mexico City,Americas,North America,https://flagcdn.com/w320/mx.png,..\output\imagenes_procesadas\mx.jpg
Moldova,MDA,2024,1966418.0,Europe & Central Asia (excluding high income),Upper middle income,0.56,Chișinău,Europe,Eastern Europe,https://flagcdn.com/w320/md.png,..\output\imagenes_procesadas\md.jpg
Mongolia,MNG,2024,2344987.0,East Asia & Pacific (excluding high income),Lower middle income,0.98,Ulan Bator,Asia,Eastern Asia,https://flagcdn.com/w320/mn.png,..\output\imagenes_procesadas\mn.jpg
Montenegro,MNE,2024,503215.0,Europe & Central Asia (excluding high income),Upper middle income,0.75,Podgorica,Europe,Southern Europe,https://flagcdn.com/w320/me.png,..\output\imagenes_procesadas\me.jpg
Morocco,MAR,2024,27893979.0,Middle East & North Africa (excluding high income),Lower middle income,0.44,Rabat,Africa,Northern Africa,https://flagcdn.com/w320/ma.png,..\output\imagenes_procesadas\ma.jpg
Mozambique,MOZ,2024,18581790.0,Sub-Saharan Africa (excluding high income),Low income,0.54,Maputo,Africa,Eastern Africa,https://flagcdn.com/w320/mz.png,..\output\imagenes_procesadas\mz.jpg
Namibia,NAM,2024,1858089.0,Sub-Saharan Africa (excluding high income),Upper middle income,0.73,Windhoek,Africa,Southern Africa,https://flagcdn.com/w320/na.png,..\output\imagenes_procesadas\na.jpg
Nepal,NPL,2024,21168213.0,South Asia (excluding high income),Lower middle income,0.6,Kathmandu,Asia,Southern Asia,https://flagcdn.com/w320/np.png,..\output\imagenes_procesadas\np.jpg
Netherlands,NLD,2024,15164931.0,High income,High income,0.99,Amsterdam,Europe,Western Europe,https://flagcdn.com/w320/nl.png,..\output\imagenes_procesadas\nl.jpg
New Zealand,NZL,2024,4263369.0,High income,High income,0.98,Wellington,Oceania,Australia and New Zealand,https://flagcdn.com/w320/nz.png,..\output\imagenes_procesadas\nz.jpg
Nicaragua,NIC,2024,4830854.0,Latin America & Caribbean (excluding high income),Lower middle income,0.23,Managua,Americas,Central America,https://flagcdn.com/w320/ni.png,..\output\imagenes_procesadas\ni.jpg
Niger,NER,2024,13873697.0,Sub-Saharan Africa (excluding high income),Low income,0.15,Niamey,Africa,Western Africa,https://flagcdn.com/w320/ne.png,..\output\imagenes_procesadas\ne.jpg
